question,sql
Tell me what the notes are for South Australia ,SELECT Notes FROM table WHERE Current slogan = SOUTH AUSTRALIA
What is the current series where the new series began in June 2011?,SELECT Current series FROM table WHERE Notes = New series began in June 2011
What is the format for South Australia?,SELECT Format FROM table WHERE State/territory = South Australia
Name the background colour for the Australian Capital Territory,SELECT Text/background colour FROM table WHERE State/territory = Australian Capital Territory
how many times is the fuel propulsion is cng?,SELECT COUNT Fleet Series (Quantity) FROM table WHERE Fuel Propulsion = CNG
what is the fuel propulsion where the fleet series (quantity) is 310-329 (20)?,SELECT Fuel Propulsion FROM table WHERE Fleet Series (Quantity) = 310-329 (20)
who is the manufacturer for the order year 1998?,SELECT Manufacturer FROM table WHERE Order Year = 1998
how many times is the model ge40lfr?,SELECT COUNT Manufacturer FROM table WHERE Model = GE40LFR
how many times is the fleet series (quantity) is 468-473 (6)?,SELECT COUNT Order Year FROM table WHERE Fleet Series (Quantity) = 468-473 (6)
what is the powertrain (engine/transmission) when the order year is 2000?,SELECT Powertrain (Engine/Transmission) FROM table WHERE Order Year = 2000
What if the description of a ch-47d chinook?,SELECT Description FROM table WHERE Aircraft = CH-47D Chinook
What is the max gross weight of the Robinson R-22?,SELECT Max Gross Weight FROM table WHERE Aircraft = Robinson R-22
What school did player number 6 come from?,SELECT School/Club Team FROM table WHERE No. = 6
What school did the player that has been in Toronto from 2012-present come from?,SELECT School/Club Team FROM table WHERE Years in Toronto = 2012-present
What school did the player that has been in Toronto from 2010-2012 go to?,SELECT School/Club Team FROM table WHERE Years in Toronto = 2010-2012
What position did the player from Baylor play?,SELECT Position FROM table WHERE School/Club Team = Baylor
Who played in the Toronto Raptors from 1995-96?,SELECT Player FROM table WHERE Years in Toronto = 1995-96
Which number was Patrick O'Bryant?,SELECT No. FROM table WHERE Player = Patrick O'Bryant
What school did Patrick O'Bryant play for?,SELECT School/Club Team FROM table WHERE Player = Patrick O'Bryant
How many number does Fordham school have?,SELECT COUNT No. FROM table WHERE School/Club Team = Fordham
Which school was in Toronto in 2001-02?,SELECT School/Club Team FROM table WHERE Years in Toronto = 2001-02
Which school did the player that played 2004-05 attend?,SELECT School/Club Team FROM table WHERE Years in Toronto = 2004-05
Which position does Loren Woods play?,SELECT Position FROM table WHERE Player = Loren Woods
What number is the player that played 1998-2001,SELECT MIN No. FROM table WHERE Years in Toronto = 1998-2001
Which country is the player that went to Georgetown from?,SELECT Nationality FROM table WHERE School/Club Team = Georgetown
Which school did Herb Williams go to?,SELECT School/Club Team FROM table WHERE Player = Herb Williams
When did the player from Hawaii play for Toronto?,SELECT Years in Toronto FROM table WHERE School/Club Team = Hawaii
During what period did Dell Curry play for Toronto?,SELECT Years in Toronto FROM table WHERE Player = Dell Curry
What's the number of the player from Boise State?,SELECT No. FROM table WHERE School/Club Team = Boise State
What's Dell Curry nationality?,SELECT Nationality FROM table WHERE Player = Dell Curry
which player is from georgia,SELECT Player FROM table WHERE School/Club Team = Georgia
what school is rudy gay from,SELECT School/Club Team FROM table WHERE Player = Rudy Gay
what nationality is the player who played from 1997-98,SELECT Nationality FROM table WHERE Years in Toronto = 1997-98
what position did the player from connecticut play,SELECT Position FROM table WHERE School/Club Team = Connecticut
During which years was Marcus Banks in Toronto?,SELECT Years in Toronto FROM table WHERE Player = Marcus Banks
Which positions were in Toronto in 2004?,SELECT Position FROM table WHERE Years in Toronto = 2004
What nationality is the player Muggsy Bogues?,SELECT Nationality FROM table WHERE Player = Muggsy Bogues
What years was the player Lonny Baxter in Toronto?,SELECT Years in Toronto FROM table WHERE Player = Lonny Baxter
How many players were with the school or club team La Salle?,SELECT COUNT Player FROM table WHERE School/Club Team = La Salle
"When the scoring rank was 117, what was the best finish?",SELECT Best finish FROM table WHERE Scoring rank = 117
"When the best finish was T69, how many people came in 2nd?",SELECT 2nd FROM table WHERE Best finish = T69
How many wins were there when the money list rank was 183?,SELECT COUNT Wins FROM table WHERE Money list rank = 183
"When the money list rank was n/a, what was the scoring average?",SELECT Scoring average FROM table WHERE Money list rank = n/a
What time was the highest for 2nd finishers?,SELECT MAX 2nd FROM table
When did the Metrostars have their first Rookie of the Year winner?,SELECT MIN Season FROM table WHERE Team = MetroStars
What college did the Rookie of the Year from the Columbus Crew attend?,SELECT College FROM table WHERE Team = Columbus Crew
How many teams had a #1 draft pick that won the Rookie of the Year Award?,SELECT COUNT Team FROM table WHERE Draft Pick # = 1
What position did the #10 draft pick play?,SELECT Position FROM table WHERE Draft Pick # = 10
what's the years played with singles w-l of 3–2,SELECT Years Played FROM table WHERE Singles W-L = 3–2
what's the doubles w-l for player seol jae-min (none),SELECT Doubles W-L FROM table WHERE Player = Seol Jae-Min (none)
what's the singles w-l for kim doo-hwan,SELECT Singles W-L FROM table WHERE Player = Kim Doo-Hwan
what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,SELECT COUNT Singles W-L FROM table WHERE Doubles W-L = 0–0 AND Total W-L = 3–1
what's the doubles w-l with years played value of 1 (1968),SELECT Doubles W-L FROM table WHERE Years Played = 1 (1968)
what years are played for player  im chung-yang,SELECT Years Played FROM table WHERE Player = Im Chung-Yang
What is the name of the 375 crest length?,SELECT Name FROM table WHERE Crest length (meters) = 375
What is year of construction of spitallamm?,SELECT MIN Year of construction FROM table WHERE Name = Spitallamm
What is the canton of grande dixence?,SELECT Canton FROM table WHERE Name = Grande Dixence
What is the name where lago di luzzone is?,SELECT Name FROM table WHERE Name of the Lake = Lago di Luzzone
What is the  guardian mātṛkā for the guardian whose consort is Svāhā?,SELECT Guardian Mātṛkā FROM table WHERE Consort = Svāhā
"Where the mantra is ""oṃ yaṃ vāyuve namaḥ"", what is the direction of the guardian?",SELECT Direction FROM table WHERE Mantra = Oṃ Yaṃ Vāyuve Namaḥ
What weapon is used by the guardian whose consort is śacī?,SELECT Weapon FROM table WHERE Consort = Śacī
What are the directions for the guardian whose weapon is khaḍga (sword)?,SELECT Direction FROM table WHERE Weapon = Khaḍga (sword)
What are the weapons used by guardians for the direction East?,SELECT Weapon FROM table WHERE Direction = East
What are the directions for the guardian whose graha (planet) is bṛhaspati (Jupiter)?,SELECT Direction FROM table WHERE Graha (Planet) = Bṛhaspati (Jupiter)
"What is the number of chapters listed for the fraternity with a headquarters in Austin, Texas?","SELECT MAX Chapters FROM table WHERE Classification = Fraternity AND Headquarters = Austin, Texas"
What are the members listed with the sorority classification,SELECT Member FROM table WHERE Classification = Sorority
Name the member that has 12 chapters,SELECT Member FROM table WHERE Chapters = 12
Where is the headquarters of Alpha Nu Omega,SELECT Headquarters FROM table WHERE Member = Alpha Nu Omega
what is the number of relapsing fever when malaria is 3000,SELECT MIN Relapsing fever FROM table WHERE Malaria = 3000
what is the typhoid fever number for the year 1934,SELECT Typhoid fever FROM table WHERE Year = 1934
What are all the typhus number when smallpox is 4,SELECT Typhus FROM table WHERE Smallpox = 4
what is the number of smallpox when typhoid fever is 293,SELECT MAX Smallpox FROM table WHERE Typhoid fever = 293
what is the typhoid fever number for the year 1929,SELECT Typhoid fever FROM table WHERE Year = 1929
"How many schools are in Bloomington, IN?","SELECT COUNT Founded FROM table WHERE Location = Bloomington, IN"
How many of the schools are designated private/Presbyterian?,SELECT COUNT Location FROM table WHERE Affiliation = Private/Presbyterian
In what year was Lindenwood University founded?,SELECT MIN Founded FROM table WHERE School = Lindenwood University
"How many of the schools listed are in Ames, IA?","SELECT COUNT Primary conference FROM table WHERE Location = Ames, IA"
What is the capital (endonym) where Douglas is the Capital (exonym)?,SELECT Capital ( endonym ) FROM table WHERE Capital ( exonym ) = Douglas
How many countries (endonym) has the capital (endonym) of Jakarta?,SELECT COUNT Country ( endonym ) FROM table WHERE Capital ( endonym ) = Jakarta
What is the country (exonym) where the official or native language(s) (alphabet/script) is Icelandic?,SELECT Country ( exonym ) FROM table WHERE Official or native language(s) (alphabet/script) = Icelandic
In which country (endonym) is Irish English the official or native language(s) (alphabet/script)?,SELECT Country ( endonym ) FROM table WHERE Official or native language(s) (alphabet/script) = Irish English
Which country (exonym) is the country (endonym) isle of man ellan vannin?,SELECT Country ( exonym ) FROM table WHERE Country ( endonym ) = Isle of Man Ellan Vannin
"The season premiere aired on September 11, 2000 aired on how many networks? ","SELECT COUNT Network FROM table WHERE Season premiere = September 11, 2000"
"What was the ranking of the season finale aired on May 8, 2006? ","SELECT Ranking FROM table WHERE Season finale = May 8, 2006"
what is the minimum population canada 2011 census with seat of rcm being cowansville,SELECT MIN Population Canada 2011 Census FROM table WHERE Seat of RCM = Cowansville
what's the land area with seat of rcm being granby,SELECT Land Area FROM table WHERE Seat of RCM = Granby
What is the population for County Mayo with the English Name Carrowteige?,SELECT Population FROM table WHERE County = County Mayo AND English name = Carrowteige
What is the Irish name listed with 62% Irish speakers?,SELECT Irish name FROM table WHERE Irish speakers = 62%
What is the population for the Irish Name Leitir mealláin?,SELECT Population FROM table WHERE Irish name = Leitir Mealláin
What is the county for the Irish name Carna?,SELECT County FROM table WHERE Irish name = Carna
How many County Kerry have 53% Irish speakers?,SELECT COUNT English name FROM table WHERE Irish speakers = 53% AND County = County Kerry
What is the population for the English name Spiddal?,SELECT Population FROM table WHERE English name = Spiddal
What is the the Chinese population for the state that has a Filipino population of 1474707?,SELECT MIN Chinese FROM table WHERE Filipino = 1474707
