Prompt,Query
Retrieve the full names and employee IDs of active staff members.,"SELECT full_name, employee_id FROM staff_directory WHERE is_active = 1;"
Find assets with a specific serial number and belonging to a particular pharmacy.,SELECT * FROM assets WHERE serial_number = 'ABC123' AND pharmacies_id = 456;
Get all hazards created in the last week.,SELECT * FROM hazards WHERE created_at >= NOW() - INTERVAL '1 week';
Retrieve the names and order of event staff roles for a specific facility.,"SELECT name, order FROM event_staff_roles WHERE facility_id = 789;"
Find event actions performed by a specific user and within a given date range.,SELECT * FROM event_actions WHERE user_id = 123 AND action_date BETWEEN '2023-07-01' AND '2023-07-31';
Retrieve form settings summary tools for a specific form and organization.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND organization_id = 456;
Get events with a specific event type and open status.,SELECT * FROM events WHERE events_type_id = 123 AND is_open = 1;
Find users with a specific role and created after a certain date.,SELECT * FROM users WHERE roles_id = 789 AND date_created > '2023-01-01';
Retrieve organizations with a trial end date in the future.,SELECT * FROM organizations WHERE trial_ends_at > NOW();
Find pharmacies that were activated by a specific user.,SELECT * FROM pharmacies WHERE activated_by = 123;
Retrieve the IDs and full names of staff members belonging to a specific organization.,"SELECT id, full_name FROM staff_directory WHERE org_id = 123;"
Find assets that are currently active and belong to a particular organization.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456;
Get hazards with a specific name and description.,SELECT * FROM hazards WHERE name = 'Fire Hazard' AND description = 'High risk of fire outbreak.';
Retrieve the default event staff roles for a specific form ID.,SELECT * FROM event_staff_roles WHERE forms_id = 789 AND is_default = 1;
Find event actions performed by a specific user and updated within the last week.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_at >= NOW() - INTERVAL '1 week';
Get form settings summary tools for a particular facility and organization.,SELECT * FROM formsettings_summarytools WHERE facility_id = 789 AND organization_id = 456;
Retrieve events created by a specific user and still open.,SELECT * FROM events WHERE users_id = 123 AND is_open = 1;
Find users with a specific role and active status.,SELECT * FROM users WHERE roles_id = 789 AND active = 1;
Get organizations created after a certain date and located in a specific city.,SELECT * FROM organizations WHERE date_created > '2023-01-01' AND city = 'New York';
Retrieve pharmacies that were activated within the last month.,SELECT * FROM pharmacies WHERE activated_by >= NOW() - INTERVAL '1 month';
Retrieve the user IDs and names of active staff members in a specific organization.,"SELECT user_id, full_name FROM staff_directory WHERE is_active = 1 AND org_id = 123;"
Find assets that were created or updated in the last 30 days.,SELECT * FROM assets WHERE created_at >= NOW() - INTERVAL '30 days' OR updated_at >= NOW() - INTERVAL '30 days';
"Get hazards with a description containing the word ""danger"" and created in the last 3 months.",SELECT * FROM hazards WHERE description LIKE '%danger%' AND created_at >= NOW() - INTERVAL '3 months';
Retrieve the names and orders of event staff roles for a specific form ID and facility ID.,"SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456;"
Find event actions performed by a specific user,"updated by a specific user, and within a specific date range.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_by = 456 AND action_date BETWEEN '2023-06-01' AND '2023-06-30';"
Get form settings summary tools for a specific form ID,"facility ID, and organization ID.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND facility_id = 456 AND organization_id = 123;"
Retrieve events created by a specific user,"organization ID, and closed within the last week.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '7 days';"
Find users with a specific role,"active status, and created after a certain date.,SELECT * FROM users WHERE roles_id = 789 AND active = 1 AND date_created > '2023-01-01';"
Get organizations with a trial end date in the future and located in a specific city.,SELECT * FROM organizations WHERE trial_ends_at > NOW() AND city = 'London';
Find assets that are active,"belong to a specific organization, and have been updated within the last month.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456 AND updated_at >= NOW() - INTERVAL '1 month';"
"Get hazards with a description containing the word ""danger"" and created in the last 3 months","ordered by their names in ascending order.,SELECT * FROM hazards WHERE description LIKE '%danger%' AND created_at >= NOW() - INTERVAL '3 months' ORDER BY name ASC;"
Retrieve the names and orders of event staff roles for a specific form ID and facility ID,"excluding the ones that have a default setting.,SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456 AND is_default = 0;"
Find event actions performed by a specific user,"updated by a different specific user, and within a specific date range, ordered by the action date in descending order.,SELECT * FROM event_actions WHERE user_id = 123 AND updated_by = 456 AND action_date BETWEEN '2023-06-01' AND '2023-06-30' ORDER BY action_date DESC;"
Get form settings summary tools for a specific form ID,"facility ID, and organization ID, ordered by the tools ID in ascending order.,SELECT * FROM formsettings_summarytools WHERE forms_id = 789 AND facility_id = 456 AND organization_id = 123 ORDER BY tools_id ASC;"
Retrieve events created by a specific user,"organization ID, and closed within the last week, ordered by the event type ID in ascending order.,SELECT * FROM events WHERE users_id = 123 AND organization_id = 456 AND date_closed >= NOW() - INTERVAL '7 days' ORDER BY events_type_id ASC;"
Find users with a specific role,"active status, and created after a certain date, ordered by their full names in ascending order.,SELECT * FROM users WHERE roles_id = 789 AND active = 1 AND date_created > '2023-01-01' ORDER BY full_name ASC;"
Get organizations with a trial end date in the future,"located in a specific city, and ordered by their trial end dates in descending order.,SELECT * FROM organizations WHERE trial_ends_at > NOW() AND city = 'London' ORDER BY trial_ends_at DESC;"
Retrieve pharmacies with a specific name,"activated by a specific user, and disabled after a certain date, ordered by their names in ascending order.,SELECT * FROM pharmacies WHERE name = 'Pharmacy ABC' AND activated_by = 123 AND date_disabled > '2023-01-01' ORDER BY name ASC;"
Retrieve the full names and employee IDs of staff members who are active,"belong to a specific organization, and have a registration number.,SELECT full_name, employee_id FROM staff_directory WHERE is_active = 1 AND org_id = 123 AND reg_number IS NOT NULL;"
Find assets that are active,"belong to a specific organization, have a specific asset type ID, and have been updated within the last month.,SELECT * FROM assets WHERE active = 1 AND organizations_id = 456 AND asset_type_id = 789 AND updated_at >= NOW() - INTERVAL '1 month';"
"Get hazards with a description containing the word ""danger"" and created in the last 3 months","ordered by their names in ascending order and limited to 10 rows.,SELECT * FROM hazards WHERE description LIKE '%danger%' AND created_at >= NOW() - INTERVAL '3 months' ORDER BY name ASC LIMIT 10;"
Retrieve the names and orders of event staff roles for a specific form ID and facility ID,"excluding the ones that have a default setting and ordered by the order in descending order.,SELECT name, order FROM event_staff_roles WHERE forms_id = 789 AND facility_id = 456 AND is_default = 0 ORDER BY order DESC;"
